userid,courseid,course,rating,강원도,경상북도,경상남도,전라북도,전라남도,충청도,제주도,경기도,서울,인천,대전,부산,광주,울산,대구,물,나무,역사문화,특색,맛집여행,호캉스,감성카페(프랜차이즈 제외),애견동반ㅇ,봄,여름,가을,겨울
5,1,"영종진 공원, 영종역사관, 레일바이크",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
3,2,"네스트호텔, 플라츠레스토랑",7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
3,3,"월미도 놀이공원, 을왕리 해수욕장",4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,4,대이작도 배낚시,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,5,빠세 꼼보제,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
5,6,"네스트호텔, 플라츠레스토랑",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
3,7,"을왕리, 영종대교, 차이나타운, 개항장거리 카페팟알, 문학야구장",7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
7,8,쉐라톤 그랜드 호텔,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,9,"소래철교, 소래시장",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
7,10,"동화마을, 차이나타운",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
6,11,"덕적도,굴업도,개머리언덕 캠핑,토끼섬",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
3,12,"동화마을, 차이나타운",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,13,"송도센트럴파크,송도한옥마을,인천시립박물관,야끼화로",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
3,14,"계양산 장미원, 지선사, 봉일사지 삼층석탑",7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
3,15,"교동도 대룡시장,교동스튜디오,교동향교",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
5,16,"대이작도 풀등해변,부아산",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
3,17,"정서진 해넘이전망대, 노을벽, 정서진 아라뱃길 아쿠아버스",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,18,"소래포구, 소래습지생태공원 소금창고 ",7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
3,19,"제주도 섭지코지, 성산일출봉, 김녕해수욕장",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,20,"을왕리 해수욕장, 카페 에이, 인천 대공원",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
3,21,"월미도, 왕산 해수욕장",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,22,"대부도 티라이트 공원, 달전망대, 동춘서커스,어부직영원조11호 ",8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
7,23,"강화도 외포리어시장, 고인돌유적",7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
5,24,"수도국산 달동네 박물관, 인천 어린이 과학관",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,25,"보문사, 민머루 해수욕장, 미네랄 온천",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
7,26,"하늘정원, 운염도 갈라진 땅",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
4,27,"태안 안면도 자연휴양림, 꽃지해수욕장",6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
4,28,"무의도 실미도 촬영지, 하나개해수욕장",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,29,인천 하얏트리젠시 호텔,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
