id,course,rating,강원도,경상북도,경상남도,전라북도,전라남도,충청도,제주도,경기도,서울,인천,대전,부산,광주,울산,대구,가성비,중간가성비,호화,바다,산,유적지,맛집여행,호캉스,감성카페,가족여행,액티비티,애견동반ㅇ,애견동반x,자차,대중교통,내일로,자전거
1,"양양쏠비치,유진게찜,엘꼬시네로(스페인음식)",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
1,"아길라호텔,동명정류장카페,바다를본돼지",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
1,"씨스테이호텔,몽상드애월카페,아기해녀의집",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
1,"대전아로니아펜션,운주계곡",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
2,"양양쏠비치,송이(한식),호텔내미술관",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
2,"가평마이다스호텔,선어치고개집",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
2,"양양쏠비치,양양파마씨,파마씨펍",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
2,"해운대신라스테이,다솥(한식),카페루프탑,로컬102(펍),라라랜드",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0
2,"어거스터청평펜션,팀어거스터수상레저",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2,"가평화이트큐브24펜션,바베큐",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2,"부산더비에스호텔,본전돼지국밥,초랑밀면,신발원",10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
2,"인천인터네셔널호텔,차이나타운유가복,흑백사진관",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
2,"청도베니치아호텔,빠삐용캠프(수제버거),와인터널",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
2,"청도베니치아호텔,청도읍성,꽃자리(한옥카페)",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
2,"대구라온제나,대구중앙떡볶이,오차야미테",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
2,"대구게스트하우스소노,그린곱창",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2,"대구노보텔엠베서더,엘아르카레푸스진천점,단골식당(석쇠불고기),김광석길,루프탑카페편수성",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0
2,"전주라마다호텔,에루화본점,다기양조장",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0
2,"전주엔브릿지호텔,아원고택,삼백집본점,한옥마을",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0
2,"당진해어름카페,아이미술관,왜목마을해수욕장,빙빙반점",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
2,"울산신라스테이,주전몽돌해변,당사해양낚시공원,태화강국가정원,십대리숲",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0
2,"안성금광호수공원,까페호미",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0
2,"대구캐주얼하우스소노,김광석길,그린곱창막창",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
2,"양평빠빠에피앤아틀리에,빠빠에피카페,사나산아(한식)",8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
